1,13,11,11,11,13,11,11,13,11,11,11,11,11,11,11,11,11,11,2
21,18,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3
21,18,0,0,0,3,0,0,21,13,13,9,0,0,0,0,0,0,0,3
21,18,0,0,0,10,13,13,14,20,14,18,0,0,0,0,0,0,0,3
21,6,0,0,0,0,10,6,0,44,0,21,11,11,11,11,13,9,0,3
3,0,0,0,0,-2,0,0,0,0,0,3,0,0,0,0,21,18,0,3
21,88,0,0,0,0,0,1,88,17,17,5,9,0,0,0,21,18,0,3
3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,21,18,0,3
3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,21,18,0,3
3,0,0,0,0,0,0,10,11,11,11,11,6,0,0,0,21,6,0,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,88,0,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6
